[報牌] 高雄539,0,1,Thu Apr 18 16:13:57 2024
[報牌] 享受輸的感覺539,10,8,Thu Apr 18 17:35:18 2024
[情報] 樂透小常識 (編修:2019/05/01),43,18,
[公告] 樂透版版規 2016.08.21,14,11,Sun Aug 21 23:14:10 2016
Re: [閒聊] 刮刮樂機率分析彙整,1,1,Wed Feb 21 23:20:51 2024
[討論] 2024.04.13 開獎結果,1,0,Sun Apr 14 23:13:46 2024
[報牌] 虎斑法鬥 39 二合,0,1,Mon Apr 15 06:30:32 2024
[報牌] 享受輸的感覺539,8,5,Mon Apr 15 16:57:49 2024
[真相] 3組539,5,5,Mon Apr 15 20:43:04 2024
[討論] 2024.04.15 開獎結果 威力彩 2.7億,4,0,Mon Apr 15 22:31:52 2024
[報牌] 虎斑法鬥 39 二合,0,1,Tue Apr 16 06:31:44 2024
[報牌] 救救我啊我救我539,0,2,Tue Apr 16 16:14:36 2024
[真相] 兩組威力彩,3,0,Tue Apr 16 17:03:30 2024
[報牌] 享受輸的感覺539,8,4,Tue Apr 16 17:25:19 2024
[報牌] 三九二合,1,2,Tue Apr 16 19:30:47 2024
[閒聊] 就連神都救不了我,1,3,Tue Apr 16 20:14:01 2024
[討論] 2024.04.16 開獎結果 大樂透 1.0億,1,0,Tue Apr 16 22:42:38 2024
[報牌] 虎斑法鬥 39 二合,0,1,Wed Apr 17 06:22:47 2024
[報牌] 39二合,0,2,Wed Apr 17 17:37:41 2024
[報牌] 享受輸的感覺539,17,7,Wed Apr 17 19:01:33 2024
[真相] 4星彩,1,0,Wed Apr 17 20:51:52 2024
[討論] 2024.04.17 開獎結果,4,0,Wed Apr 17 22:45:46 2024
[報牌] 虎斑法鬥 39 二合,0,1,Thu Apr 18 06:29:04 2024
[報牌] 39樂合彩,0,0,Thu Apr 18 16:07:09 2024
[討論] 2024.04.09 開獎結果 大樂透 1.8億,5,0,Tue Apr  9 22:32:50 2024
Re: [真相] 今彩539,3,0,Wed Apr 10 00:15:40 2024
[報牌] 虎斑法鬥 39 二合,0,1,Wed Apr 10 06:25:51 2024
[報牌] 39樂合,0,2,Wed Apr 10 17:19:03 2024
[問題] 享受輸的感覺539,13,6,Wed Apr 10 17:59:03 2024
[報牌] 虎斑法鬥 39 二合,2,2,Thu Apr 11 03:10:23 2024
[報牌] 539,0,1,Thu Apr 11 16:49:41 2024
[報牌] 享受輸的感覺539,7,5,Thu Apr 11 17:56:46 2024
[討論] 2024.04.10 開獎結果,1,2,Thu Apr 11 18:20:32 2024
[真相] 39二合,4,0,Thu Apr 11 21:38:56 2024
[報牌] 虎斑法鬥 39 二合,2,1,Fri Apr 12 04:36:55 2024
[討論] 2024.04.11 開獎結果,1,2,Fri Apr 12 10:52:53 2024
[報牌] 高雄539,1,1,Fri Apr 12 16:14:48 2024
[報牌] 神曲樂合及三四星,0,20,Fri Apr 12 17:20:31 2024
[報牌] 享受輸的感覺539,6,4,Fri Apr 12 17:59:00 2024
[真相] 兩天的39二合,7,0,Sat Apr 13 09:42:30 2024
[報牌] 虎斑法鬥 39 二合,0,1,Sat Apr 13 16:06:53 2024
[報牌] 享受輸的感覺539,7,4,Sat Apr 13 17:55:11 2024
[討論] 2024.04.12 開獎結果,7,0,Sat Apr 13 19:05:00 2024
[報牌] 占卜539,0,1,Sat Apr 13 19:55:56 2024
